Net Status Report
Filename     : C:\Documents and Settings\maker_1\Desktop\PFSMPS\08 Hardware\PFSMPS20.PcbDoc
Date         : 27.10.2011 ã.
Time         : 20:48:15
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR31_2, Signal Layers Only, 4.9243mm
    NetR32_2, Signal Layers Only, 67.7464mm
    NetR33_1, Signal Layers Only, 23.1901mm
    NetR33_2, Signal Layers Only, 2.368mm
    NetR34_1, Signal Layers Only, 23.0001mm
    NetR34_2, Signal Layers Only, 2.389mm
    NetR35_2, Signal Layers Only, 12.4911mm
    NetR36_2, Signal Layers Only, 13.8493mm
    NetR37_1, Signal Layers Only, 9.427mm
    NetR39_2, Signal Layers Only, 11.3173mm
    NetR40_2, Signal Layers Only, 11.4225mm
    NetR41_2, Signal Layers Only, 11.3173mm
    NetR42_2, Signal Layers Only, 11.4225mm
    NetR50_2, Signal Layers Only, 11.4225mm
    NetR64_1, Signal Layers Only, 84.0743mm
    NetR65_1, Signal Layers Only, 22.6056mm
    NetR65_2, Signal Layers Only, 9.849mm
    NetR6_2, Signal Layers Only, 10.8982mm
    NetR70_2, Signal Layers Only, 13.5756mm
    NetR71_1, Signal Layers Only, 92.0549mm
    NetR81_2, Signal Layers Only, 13.7272mm
    NetR82_2, Signal Layers Only, 2.7645mm
    NetR86_2, Signal Layers Only, 4.0521mm
    NetR93_1, Signal Layers Only, 7.644mm
    NetT1_2, Signal Layers Only, 9.9244mm
    NetT2_2, Signal Layers Only, 13.6458mm
    NetT9_10, Signal Layers Only, 30.2621mm
    NetT9_3, Signal Layers Only, 46.7721mm
    NetU11_5, Signal Layers Only, 5.6318mm
    NetU2_24, Signal Layers Only, 6.7922mm
    NetU2_32, Signal Layers Only, 42.1776mm
    NetU2_4, Signal Layers Only, 6.0743mm
    NetU2_5, Signal Layers Only, 4.3255mm
    NetU2_6, Signal Layers Only, 11.2452mm
    NetU2_8, Signal Layers Only, 12.5708mm
    NetU6_3, Signal Layers Only, 17.6938mm
    OSC_N, Signal Layers Only, 23.1852mm
    OSC_P, Signal Layers Only, 31.9405mm
count : 162
